"VIEW_NAME"	"SEM_OBJECT_ROWS"	"SEM_COL_ROWS"	"USER_TAB_COLS"	"IDS_NOT_MARK_AS_IDENTIFIER"	"NON_IDS_MARK_AS_IDENTIFIER"	"NON_ID_FIELDS_MARKED_AS_IDENTIFIER"
"V_ADDRESS_MASTER"	1	6	8	0	0	""
"V_CUSTOMER_ACCOUNT"	1	6	9	0	1	"CUSTOMER_ACCOUNT_NUMBER"
"V_CUSTOMER_ORDER_SUMMARY"	1	9	12	0	1	"CUSTOMER_ACCOUNT_NUMBER"
"V_INVENTORY_BALANCE"	1	6	7	0	0	""
"V_INVENTORY_STATUS"	1	9	16	0	1	"SKU_CODE"
"V_INVOICE_HEADER"	1	8	9	0	0	""
"V_ORDER_DETAIL"	1	15	25	0	3	"CUSTOMER_ACCOUNT_NUMBER, ORDER_NUMBER, SKU_CODE"
"V_ORDER_HEADER"	1	6	7	0	1	"ORDER_NUMBER"
"V_ORDER_LINE_ITEM"	1	8	9	0	0	""
"V_ORGANIZATION"	1	5	7	0	1	"ORGANIZATION_CODE"
"V_PAYMENT_TRANSACTION"	1	6	8	0	1	"PAYMENT_REFERENCE"
"V_PRODUCT_MASTER"	1	6	7	0	1	"PRODUCT_CODE"
"V_PRODUCT_SKU"	1	7	8	0	1	"SKU_CODE"
"V_SHIPMENT_HEADER"	1	7	8	0	1	"SHIPMENT_NUMBER"
"V_STATUS_CODE_LOOKUP"	1	4	5	0	1	"STATUS_CODE"
